session_id,area,relative_path
session_01,M1,session_01_M1_Processed_data.mat
session_01,SPL,session_01_SPL_Processed_data.mat
session_01,all,session_01_all_Processed_data.mat
session_02,M1,session_02_M1_Processed_data.mat
session_02,SPL,session_02_SPL_Processed_data.mat
session_02,all,session_02_all_Processed_data.mat
session_03,M1,session_03_M1_Processed_data.mat
session_03,SPL,session_03_SPL_Processed_data.mat
session_03,all,session_03_all_Processed_data.mat
session_04,M1,session_04_M1_Processed_data.mat
session_04,SPL,session_04_SPL_Processed_data.mat
session_04,all,session_04_all_Processed_data.mat
session_05,M1,session_05_M1_Processed_data.mat
session_05,SPL,session_05_SPL_Processed_data.mat
session_05,all,session_05_all_Processed_data.mat
session_06,M1,session_06_M1_Processed_data.mat
session_06,SPL,session_06_SPL_Processed_data.mat
session_06,all,session_06_all_Processed_data.mat
session_07,M1,session_07_M1_Processed_data.mat
session_07,SPL,session_07_SPL_Processed_data.mat
session_07,all,session_07_all_Processed_data.mat
session_08,M1,session_08_M1_Processed_data.mat
session_08,SPL,session_08_SPL_Processed_data.mat
session_08,all,session_08_all_Processed_data.mat
session_09,M1,session_09_M1_Processed_data.mat
session_09,SPL,session_09_SPL_Processed_data.mat
session_09,all,session_09_all_Processed_data.mat
session_10,M1,session_10_M1_Processed_data.mat
session_10,SPL,session_10_SPL_Processed_data.mat
session_10,all,session_10_all_Processed_data.mat
session_11,M1,session_11_M1_Processed_data.mat
session_11,SPL,session_11_SPL_Processed_data.mat
session_11,all,session_11_all_Processed_data.mat
